label	text	split
0	ACTUAL RESEARCH INTO THE POSSIBILITY OF A CHARACTER'S POWERS WORKING MAY BE OF INTEREST AND WILL ENHANCE THE KNOWLEDGE ABOUT THE CHARACTER BUT IS TOTALLY IRRELEVANT AS A 'POWER'.  IF SOMEONE IS LOOKING FOR THE DESCRIPTION OF WHAT THE CHARACTER CAN DO AND HAS DONE IN COMIC BOOKS, REAL WORLD RESEARCH INTO GAMMA RAYS IS IRRELEVANT.  FOR INSTANCE, IF SOMEONE LOOKED UP BLACK LIGHTNING'S POWERS, IT IS IRRELEVANT TO HIS POWER DESCRIPTION TO LIST UNDER HIS POWERS THAT PEOPLE TYPICALLY GET ELECTROCUTED WHEN IN CONTACT WITH HIGH VOLTAGE.  THE ACTUAL RESEARCH INTO GAMMA RADITION IS SOMETHING TO NOTE AND AN INTERSTING FACT TO CONSIDER BUT ALTHOUGH IT RELATES TO THE CHARACTER IN THAT THE RESEARCH IS MOTIVATED BY THE CHARACTER, THE RESEARCH IS NOT HIS STRENGTH, RESISTANCE TO DAMAGE, OR ABILITY TO SEE ASTRAL FORMS I.E. HIS POWERS.  	test
0	  I apologise for this, I was just angry with having the work I had just created deleted before I even got a chance to finish it or respond to your speedy deletion warning. I have now started to edit the article  	train
0	" :::""By what authority do we alter the lead of an entry on a very broad ranging historical concept to fit the strict definition of one of many possible primary sources?"" There was nothing being cited in the lead, and wikipedia needs it to be verifiable. Hmmmmm, so you deleted one of the only verifiable statements in the lead section and was not ready to provide something better cited? At least, if you felt it did not reflect what the source says, then attempt to rewrite it. You've obvious taken such open rewrite position on astrotheology to suit your pov, but you don't apply the same spirit here? —  "	train
0	  == Task force Science fiction for wiki project novels ==  I need to know what you know the most about Science Fiction and what interests you have in science fiction. so that I know what to assign you. Please answer on my Talk Page.  	train
0	:I just want to thank you for following up and researching this.  I didn't know the depth of things when I asked you to take a look but with what has been shown it looks like you did really well following up for me.  Thank you again for your kind and quick response to my concerns over this.  I appreciate it.     	train
0	 Welcome!  Hello, , and welcome to Wikipedia! Thank you for your contributions. I hope you like the place and decide to stay. Here are some pages that you might find helpful: *The five pillars of Wikipedia *How to edit a page *Help pages *Tutorial *How to write a great article *Manual of Style I hope you enjoy editing here and being a Wikipedian! Please sign your name on talk pages using four tildes (~~~~); this will automatically produce your name and the date. If you need help, check out Wikipedia:Questions, ask me on my talk page, or place {{helpme}} on your talk page and ask your question there. Again, welcome!   And don't forget, the edit summary is your friend. ) –     ==PNG images==  Hi. I  undid your changes to holomorphic function since converting html to LaTeX produces PNG images, which are undesirable. Per the math style manual, html is allowed (and sometimes preferred) in math formulas, and as such, converting them to LaTeX is not necessary.   You can reply here if you have comments. Cheers,   	dev
0	Hugo Chavez Would be interested in your opinion on the discussion on Talk:Hugo_Chávez#Relation_with_Carlos_the_Jackal. Thanks.  	dev
0	  == New fare structure ==  On 1 Sept 2009, day passes will be abolished. Refer: http://www.rapidkl.com.my/news/1-latest-news/135-newfares   	train
0	"   ==Requested move== Lake Theiss → Lake Tisza – The correct name of the lake in English is ""Lake Tisza"".  ===Survey=== Add ""* Support"" or ""* Oppose"" followed by a brief explanation, then sign your opinion with ~~~~ *Support as originator.    ===Discussion=== Add any additional comments"	dev
1	  UNBLOCK ME OR I'LL GET MY LAWYERS ON TO YOU FOR BLOCKING MY CONSTITUTIONAL RIGHT TO FREE SPEECH	train
0	  ==Courtesy notice== Your editing is being discussed at Wikipedia:Administrators'_noticeboard/Incidents#User_69.14.244.157   	test
0	" :::The ""relic"" is just an example. There are plenty of others. The main problem remains. The article uses views of some historians, instead of facts. And apparently the facts are the weakest point of the sources used to make the article. Furthermore the relic was essentially rephrased. It's still there.  "	train
0	 July 2008 (UTC) :And please stop to vandalise now...   11:24, 13	train
0	 — Preceding unsigned comment added by   •   :Are you referring to the Orphan tag at the top of the article? That says that too few articles link to this one.   	test
0	 :::Sorry, the link you gave me is dead. And I formatted in harvnb, so plz help in that matter.  	test
0	  :: This is now very concerning. I emailed Elonka last night about my scepticism as to the real identity of these posts. My suspicions arose when I received an email from (a) Lord Knowle to help edit the Knights Templar article. Looking back on it later it did seem diferent from the usual style that I would normally get from the person that I know who owns this account. I was very puzzled over the temperament and writing style of the edits on the Knights Templar page. The attacks on the Earl of Bradford seem very similar, someone who has also been attacked for their campaign against pseudo-Templar websites. LK is also very private about his involvement and doesn't participate on public forums on this subject. If he had wanted to do so, then he would have done so a lot earlier in the article's lifecycle than these last few weeks. Having spent a good few hours going through all his edits there is even one that was posted when I was speaking to him on his mobile. I have checked the date and time entry and on that day he was in Suffolk, over 200 miles away from his home. I would urgently request that LK's account is locked until this is checked out. I have emailed him and await his reposnse.	dev
0	  :::::::::::Mikka, I believe he did. For example, he asked you whether you thought that Moldovans are restricted to Moldova or if the  they also exist in Bugeac, Bukovina, Romania, etc., and how this article should describe the situation. Of course, your views are involved, however this question is key as to how the article will be structured, whether it will be restricted, i.e., whether the article will be confined to the territory of RM and other regions where people described their ethnicity as Moldovan or other regions including Romania where other Moldovans live but where they are counted as part of the Romanian ethnic group rather than representatives of a separate ethnos.  	test
0	  :::::I couldn't find any details about the pamphlet on-line, except those in the two library catalogues I cited.  I consulted the Australian National Library's copy and took a photocopy of it (24 pages).  I also tried poking around the Historical Association's website without finding anything relevant. :::::I have withdrawn my suggestion that Russell's description of the pamphlet was inaccurate.  The Historical Association apparently updates some of its older pamphlets occasionally, and it could well have done so with its Common Errors in History (although I have no evidence for that, other than Russell's description itself).  I did try browsing through the Australian National Library's collection of the  Historical Association's later pamphlets without finding anything else relevant.  But since the National Library's collection is incomplete, that doesn't mean very much. :::::It might be worth contacting the Historical Association itself to see if they can provide any further information. :::::—  ·  	train
0	    Cleon has added some remarks on this on my talk page.  Perhaps we can sort this out, but Cleon does have some odd views about rotataing frames of reference, and I think that this is the source of the difficulty.  |  	train
0	  Dear Todd, Thanks. I will do that.  	train
0	Now everything is obvious. Now I'm seeing you're not that person who I thought of. Sorry. A lot of things happened in the past and I thought it might happen again. Hope you checked that difontaine link I sent. I think it makes no sense to argue about the promotion. And I have seen you are not offensive at all.   	train
0	"One editor does not a consensus make. And it doesn't matter how ""long"" the discussion is; there is still no consensus. You jumped the gun, which at this point I'll acknowledge as done in good faith. But please wait for a consensus. There are other procedures on Wikipedia when a small number of editors disagree. Please read WP:CON.     "	dev
0	  As a further thought, maybe precisley a short history of the history would make a suitable introduction, to allow for the controversiality of the issue to be made fully apparent from the outset? Simon	test
0	"  == Background section ==  At the present time, the ""background"" section cites unspecified interviews with the media, according to which, Ahmed claimed to ""take apart a clock and rebuild it inside a pencil case.""  The sentence is taken verbatim from the NPR article. However, it links to a Dallas News article, which says no such thing, to a Dallas News interview, which also does not contain this statement, and mentions a WFAA interview, which I've been unable to find. I've checked four different interviews with Ahmed and he does not explicitly describe it as a rebuilt clock in any of them.  If such an interview exists and the statement was not an interpolation by NPR, it would be nice to have a direct link, a quote and a date.  The problem with the statement is that it provides inadequate background for the rest of the article. When the story broke on 9/15, the device was consistently described by the media as ""a homemade clock"" or ""an invention"".  The fact that it was a reassembled commercial clock was mentioned in passing by a WFAA article (which quoted Irving police) on 9/16 but otherwise mostly ignored. It only went ""viral"", so to speak, when Dawkins waded into the controversy on 9/20 and his comments got picked up by the conservative media.  Much of the immediate reaction, from Obama's tweet and Zuckerberg's invitation to Dawkins' lashing out, seems inexplicable if the device in question was acknowledged to be a rebuilt commercial clock from day 1, but makes sense if the device was initially assumed by everyone to be a genuine homemade clock.   "	test
0	  == Indonesia ==  I might have done it anonymously I often do. I went back through my posts and came to the same conclusion. When I have time I'll revisit it.  	dev
0	. Chinamanjoe has been spreading lies through wikipedia	train
0	  :::::*With respect, you seem to be mistaking references found in some online media sources to usage in a whole country. Getting off the subject a little, but it does have some relevance, the NZ Herald routinely refers to NZ'ers of European descent as 'Pakeha', where as there are plenty who find this pejorative and insulating .. although this attitude is softening. Of course I would not include this in any article (and defintely not this one) without suitable reference lest it be deemed original research, I note it here as an example that the language of the media does not necessarily fully represent that of a country. :::::*What is very important to note is the skewed statistics of quoting the number of 'hits' for rooster found in NZ media. Many of these hits will be refering to the Australian league club Sydney Roosters and not the poultry. Clearly rugby is of very considerable greater interest to the country's readership than poultry. :::::*Just stating both 'Cockerel' and 'Rooster' are used is factual, whereas attempting to define relative usage is reliant on imprecise data, and data that is distorted towards an unrelated subject. :::::*Also, I can see no value to the article in trying to rank relative usage when both 'Cockerel' or 'Rooster' are common.	train
0	  :I'm willing to take criticism for my edits, and I'm willing to back down if I'm wrong. My statement was in good faith, but it's also true that I made the statement on my own authority without citing a source. However, my statement was really no more weaselly than the statement it was intended to answer. So, I've reverted to my last version (because I have criticisms of ImpuMozhi's edits that I think are valid) but removed both of the weasel statements (because I concede that your criticism of some of my wording is valid). If you believe that I was impolite or uncivil to ImpuMozhi or anyone else, then please let me know what I did wrong so that I may tender my apology. 	dev
0	" :(edit conflict with Jmccormac) What do you mean by ""tech dirt pics""? Anyway it's a work of investigative journalism. Not sure what you mean by ""POV only"" but all works of journalism are inherently POV (of the author and/or editor/source). You keep applying Wikipedia's internal rules to external sources. Wikipedia's rules and policies are only applied to editors working on this project. The POV rule is not applicable to external sources.   "	train
0	"    ""could fit into a square whose side would be 28 sq. km (i.e. 0.009 % of the total surface of the United States)."" should this read 28 km?"	train
0	 p.s. In the meantime I shall continue to visit and edit this website, using various means to evade stalkers and the various breeds of socially inept.	train
0	 April 2009 (UTC)  :Yeah, its stupid to even request deletion for an article of a musical genre that has existed for over ten years. Should we delete Post-Grunge as well? How about deleting Rapcore? It would be the same as deleting this article. If something isn't perfect you don't throw it away, you improve it.  16:55, 18	train
0	  ATTENTION!!!  The above warnings were issued by a negro. Given this information, please feel free to ignore these notices as if they were never issued. Thankyou.   	train
0	  == The Abandoned State ==  Hello! Thank you for your article The Abandoned State ).  Unfortunately, Wikipedia does not normally host articles on films which are still in pre-production, so I have proposed that the article be deleted.  Please leave me a note on my talk page if you disagree, and we can talk further. Thanks again!   	train
0	  == Is that General 9 ............==  Is that General Order 9 illustation of a UFO still around ? I've seen it in two places, one in a USMC Boot Manual, the other, online. I was told that this was intended as a example of the USMC protocol to handle unforseen situations, thus the UFO pixes. 	train
0	  == Luv 2 Luv u Remix ==  That is all.  Ps Timb & Magoo, read the lyrics.	train
0	 Just checkin'. ;)    	train
0	  == RC Patrol ==  You back on RC patrol or did you catch a stray vandal?  	dev
0	  == House Targaryen? ==  Well they aren't really a House anymore, just two renegade kids in the Dothraki Sea, and they are hogging the colour Red, which is the main Lannister colour. Lann the Clever would spin in his grave if he found out the House he founded were being represented as pink. Change?	dev
0	" :And, once again you are placing the focus off the main point (do you understand this sentence?). I can't argue with monkeys (that is indeed what you are implying you are, by believing the whole evolution hoax thing), so you go to your Wikipedia in stead. And do not say that many Christians preach that being black is a punishment. That is the biggest piece of bull shit that I have ever heard in my life. I hope you could comprehend what I have said so far. It can easily be proven that other societies reject evolution, and ignoring that from the article would be misleading. I hope you understood that. We can easily provide evidence that evolution is entirely flawed, however requiring that information from a ""fifteen year old racist child in South Africa"" is unreasonable. Also, I do not know what ""scientific reasoning"" is, because I have never heard of it. You also seem to imply that I do not know what science is, which is an insult and yet once again one of your attempts at placing the focus off the main point of the argument. Additionally, your own reasoning is the equivalent of a mad man's as you cannot keep an adult conversation with a person who wants to add a bit to an article. But what the fuck, I don't need your permission. Do I? You are a mentally retarded person, because you fail to keep your focus on what is being discuss, and you go to disgusting measures to try and hurt fellow editors, like insulting their nationality, race, generation, integrity, linguistic skills, etcetera, only to name a few. You are a disgusting example of a person trying to convince others of your personal mythical believes by continuously changing the subject and informing the person about how superior you are above him and how biased his or her belief system is. You should really (*REALLY*) get a life, for heaven's sake. ►   (  ♥  ) ♪♫ "	train
0	  ==Origins of the Kingdom of Alba== I feel that this section gives unnecessary complex detail already in the linked article of the same name, and emphasises the idea that this is a history of Alba rather than the whole of what became Scotland. It would be better to have a brief outline of how immediately post-Roman the Caledonii? to the north of the Antonine wall became Alba -  brief summary of Picts / Gaelic Scots as here and mention of Viking incursions, while the friendly buffer tribal areas became the Kingdom of the North, thence Kingdom of Strathclyde, Galloway and Northumbria. This should be much shorter than the current section, and main articles linked would be Scotland in the Early Middle Ages and Origins of the Kingdom of Alba. I'll try to draft this soon. ...:  	dev
0	Thomas.Hedden|Thomas.Hedden]]  •  14:38, 17 September 2013  == Voynich Manuscript ==  First, removing your edit for policy reasons is obviously not WP:VANDALISM. Please read our definition of vandalism and also WP:AGF. Secondly, I agree without sources meeting WP:RS her views don't belong. See WP:UNDUE. If you can find such sources, we might be able to use them.— Preceding unsigned comment added by [[User:	train
0	"  : The first link from ""Media Monitors Network"" provides a lot of important information esp. for the Deen article. The second link from the ""Independent Center for Strategic Studies and Analysis"" provides a good background to the muslim POV. Since the muslim POV tends to be less represented on Wikipedia, I vote for keeping these links.  "	train
1	fanny does as well                                      poo	train
0	" First of all It was not me who created this article Wikipedia made this article http://en.wikipedia.org/wiki/Hridayeshwar_Singh_Bhati It was not made by me nor created by me...Obviously it was created by Respected  ,http://en.wikipedia.org/wiki/User:Yunshui Sir. But you   are determined to spoil the article. You will never understand that the ""Family member"" quoted by you is 'Subject of the article in  Wikipedia"". Demoting/Abusing/Demeaning/Dejecting the subject of the article of the Wikipedia is also a disrespect for Wikipedia and disrespect for the administrator http://en.wikipedia.org/wiki/User:Yunshui sir If you are that much annoyed with the subject or if you do not find the subject of the article as notable, reliable enough...Why do not you delete this article...After all you are above god...Above Wikipedia...Above administrators. A PIECE OF ADVICE FOR YOU...IF YOU DO NOT CONSIDER THE SUBJECT OF THE ARTICLE http://en.wikipedia.org/wiki/Hridayeshwar_Singh_Bhati, NO LE, RELIABLE...PLEASE DELETE IT...Why you are bearing this article..Why you are abusing/insulting everyone. If you do not find the subject of the article ..Worthy enough..Go Ahead & Delete it. Otherwise learn to respect the people who respect the subject of the article of Wikipedia. Subject of the article is not our family member..But the subject of the article is related to Wikipedia. My relative or your enemy does not matter..What matters the most is that the Subject exists in the article of the Wikipedia. Obviously the subject is related to Wikipedia..Never insult/demean/deject/demote the subject..It is insult of Wikipedia also..Put a big ? over the person who created it.  "	dev
1	"   YOU'RE CONTRADICTING YOURSELF! Basically your opinion of based on blindness and bullshit as far the ""evidence"" you send me are considered.  Really? Puny pictures in which you can almost not see what her eye color is. You need a magnifying glass to see her eyes. Don't show such pictures cuz it just looks really sloppy and desperate, which in your case makes sense. 1(By magnifying this image up to 400%, you can clearly see her eye color looks sort of olive green, not anywhere close to brown). 2(What the f*** is this? It look horrendous. Oh and her eyes are lighter than her hair and you keep saying they're the same shade, when clearly they're not. Lets take a look at a better quality image. No brown eyes here.)  3(These eyes can still be called hazel.) 4(Hazel eyes due to their nature have the tendency to look goldish brown in certain lights, and look at Belle's hair it looks red). 5(I can clearly see her eyes are not the same as her hair, in fact take a close look when a lock of hair falls in front of her right eyes and clashes with her eyes color. The difference looks brown and hazel, instead of brown and light brown.) 6(That's not a screenshot, and by magnifying the image, her eyes look dark hazel and so not the same color as her hair) 7(400% zoom in, hazel eyes) 8(What a desperate image, you can barely see anything, 1000% zoom in and her eyes appear not to be brown again). 9(400% zoom in, hazel eyes... again)  Oh yes, the Belle merchandise that has her with brown eyes is so big, only one of the pictures you send can sort of qualify. 10 (By magnifying the image up to 400%, you can clearly see her eyes look green-like). 11(400% zoom in, hazel eyes AGAIN)  JESUS F***ING CHRIST. You preseted me with like 18 images and almost all of them have Belle with hazel eyes instead of brown. ARE YOU COLORBLIND? Don't you know how to differentiate colors. An you call this SOLID? If Belle's eyes are hazel, than those are indeed solid, verified evidence. And the screenshots aren't even from the Diamond Edition, they're from the Special Edition.  Take a look at these pics, please. Think anyone will believe you that her eyes are brown? I don't think so. These are just a couple of additions to the pictures you presented, further cementing that Belle has hazel eyes instead of brown. Since hazel is a mix of brown and green and that hazel eyes vary between almost green to almost brown, on what bases are people suppose to believe Belle's eyes are brown?  Look at this page  — Preceding unsigned comment added by   •   "	train
0	  == http://en.wikipedia.org/wiki/User_talk:62.203.172.174 ==  What the fu** are you talking about? If you had an ounce of reason in your scull you would have seen that I just removed a double entry - nothing else.   By the way, there is more of it further down on that page, but I refrained from doing that, as I am not a native speaker.  NB: It is people like you that make life hell for ordinary wikipedians.   	dev
0	  = ANI Notice = Hello. There is currently a discussion at Wikipedia:Administrators' noticeboard/Incidents regarding an issue with which you may have been involved.    Thank you.	dev
0	 :Okay, thanks for informing me. '''''' 	train
0	" :::::::::I accept your comment in the spirit in which it is offered. Terminology matters and it can be hard to find the correct word. It was another editor who sought to distinguish ""civilised behaviour"" from that of Indians; my point was that even if one accepts such a distinction, non-Indians have committed absurdly large atrocities. In addition, I could have pointed to the Mystic massacre as a completely on-point example of a butchery that shocked our Native population. None-the-less, both tribal Mongols and tribal American Indians had or have civilizations by any reasonable definition.   "	train
0	Actually, the whole fact that it's an encyclopedia on the internet that anyone can edit (therefore has questionable reliability) gives Wikipedia a bad name. But enough. When I said 'boring' I was using it as a derogatory term in general. Although he is boring, I was attacking him because I don't buy his theories because I think he presents them in an unintelligent light. I didn't take it very seriously because I don't think it was written seriously (although he was thorough, I'll give him that). And the first person who posted here, please sign your name, not to mention read all the stuff I've written in the homosexuality section. :Anyway, I think the treasure trove part, unless it is proven to be false, works fine because that is the current theory. Any objections?    	test
1	" :Script-assisted fucking... grumble... Yeah, I know it's all us, but I like it as is. To me internal links = double brackets, external links = single brackets; I'm only a simple cave-woman, and want my page to reflect it. And ""See also"" is incredibly useless (the Bishbaby throws some Potato Salad of Congeniality in random directions at the mere thought of ""See also""'s). I haven't fully explored the other changes, but I'm sure they're fine. Thanks for making it more professional. (Bishbaby, leave the nice man alone!)  |  ."	train
0	  == Talk:Hannah Montana Forever (soundtrack) ==  Why did you create Talk:Hannah Montana Forever (soundtrack)? There is no article there.   	test
0	  == Why was www.midsummermorning removed from the external links on the solstice page ? ==   Did you even bother to look ?	train
0	  ==New paragraph about Collins in historical section==  Someone has been copied by some other source. It's better to cancel it directly or to wikify it?  	train
0	 I suppose you're right, the keyword here with the keyword in this article being 'lore'. Thanks for the consideration, I am still a pretty mad Vikes fan and the 98 season was a lot more important to us and Atlanta than any other team.	train
0	"Blue Collar Man (Long Nights)]]"" |Styx |Prog |- |""[["	train
0	  :You are very welcome. It shows that all the discussion currently going on at Wikipedia talk:Featured article criteria about upping the criteria to include stricter requirements for reference sources for FAs, (stricter than WP:RS) meaning nothing in the face of a blattent misuse of references, which I feel happened in this article. —  	dev
0	I'VE SAID ONCE AND I WILL SAY IT AGAIN Mathewignash is a lover of mediocrity that why he's vehemently defended keeping so many poor Transformers I and other users have nominated for AFD.     	train
0	   Thank you! It's good to hear from you. I'm fine. Thanks for asking. My last computer stopped working and I had to wait for a while to get a new one. I just got one and am looking forward to getting back to work on WP. I didn't see YOU for a while; you don't seem to be editing as much as you used to, or maybe I'm just not seeing your edits.   	train
0	  == Collaboration ==  Wikipedia requires that unless some information is so common and well known (e.g. the sky is blue by day) it needs to be sourced, otherwise it is a violation of original research or synthesis. The statement about Israel and South Africa collaborating on nuclear research because both found it difficult to elicit help from other nuclear capable countries is something that either needs a verifiable and reliable source or it cannot remain in the article. Thanks.    	train
0	"  Deenoe, the Israeli blockade is a military action. You can't just single out Israel! You have to mention all the other targets that Hezbollah have fired at. Also, how have thousands of people been able to leave Lebanon if Israel had a ""FULL"" blockade? Clearly, Israel is only preventing Hezbollah from receiving weapon shipments and containing the terrorists."	test
0	 Order of Mata Nui article at Bioncle Sector 01 Wiki Stop being lazy and LOOK AT IT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	test
0	  == ENERGEX MEDIA RELEASE - CBD ==  Good news! They're switching off power to the CBD in about four hours. That probably means we'll lose internet access across most of the city, and certainly all the major local servers.     Not only will that take care of me, but it means both pages will become totally irrelevant, since anyone who might be interested in your excellent article on the brisbane floods will be sitting in the dark.  Congratulations, you win. With a little help from a natural disaster. Well played. You two clearly work well together.   	test
0	  YES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!My sister is not letting me go!  He is SO hot! Here's why: -he is amazing looking -he has abs(i bet greg doesn't have abs) -nice bod!! -he isn't way taller than me( a lot of people are) -abs    AAAAAAAAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!!  ):):)	train
0	  == Respectful Request about Union of the Crowns ==  I understand that you wish to voice your own say in all articles of Scottish relation, but please discuss your disagreements before plunging into edit wars.  Point out your disagreement first and then we can work out the kinks and idiosyncrasies, or other unbecoming attributes.  I'm willing to hear you out, but only through the talk page discussion.   	train
0	" Sure, I'll drop it, but I'll not forget how I was treated by a so-called ""Admin"". "	test
0	Template:Film Studio To the editor at this IP that is editing the Film Studio template. Please stop adding all these additional listings to Template:Film Studio as navboxes are not suppose to indiscriminate listings. Particularly, those article names that are redirect or don't have their own article should not be listed. Also, once a smaller production company is purchased by a major studio they are consider to be apart of that major studio, so are not listed.   	train
0	  == You have serious problems. ==  So now that you've failed to get my Alias Eclipse article deleted, you're exacting revenge by decimating my contributions to the Softimage|3D article? This is preposterous. You have serious emotional issues and have not business moderating this web site.	train
1	  == hi ==  you are a stupid ugly l0ser.your mom was a cheap wh0re who would fock anything that walks.fock you you waste of life scvmbag,why don't you call me names back l0ser. i know youre true idenity too,i met you a few times.i h8 you.you are a evil r0tten person.i hope you cr0ak	train
0	"  == Male Wikipedians ==  Hi! I noticed you made yourself a male userbox. I've just made a ""standard"" one at  (which slots you into Category:Male Wikipedians). Feel free to use it and/or edit it! —  |     ==Wikimedia Canada== Hi there! I'd like to invite you to explore Wikimedia Canada, and create a list of people interested in forming a local chapter for our nation. A local chapter will help promote and improve the organization, within our great nation. We'd also like to encourage everyone to suggest projects for our national chapter to participate in. Hope to see you there!   ==Strelchick==   I got your message about Strelchick.  When I made an article about him, it was about 2 weeks before the election.  It was only 2 sentences long.  Then some NDP-er added like 100 paragraphs too it.  (Don't worry, Im a staunch liberal)  I think it should be shortnened, and then, if nothing at all happens for about six months, deleted.  But not yet.  Thanks.  ==Strelchick 2==  I got a reply from someone about you, and the Strelchick article.  I didn't really understand it, but this guy hates you.  Take a look at it, and tell me what you want to do about the article.  Thanks,    PS.  You went to TSS.  cool  == Help with Vandalism ==  Hey, you seem like a fairly experienced user, so I thought I'd ask you for help.  keeps blanking Talk:Simon Strelchick. I've reverted it like three times already, and he keeps blanking it - what should I do? Thanks,     :I've left him a warning message on his talk page. You could list the incident on WP:AN/I or, if he reverts more than three times in 24 hours, on WP:AN3.    ==Strelchick redux==  While it's clear that the new editors' behaviour is inappropriate, I'd be remiss if I didn't also suggest to you that you might want to be a bit more careful in the future not to get involved in discussions where you might be perceived as having a personal bias. Whether you do or don't isn't even really the point — sometimes all that's necessary to spark this kind of ruckus is the perception that you have a vested interest. They obviously believe that your nomination was politically motivated rather than based on a neutral assessment of Wikipedia policy.  In future, it might be best to just avoid putting yourself in a situation where your motivations might be questioned in this way. You can always ask other editors, or the Canadian notice board, to review a situation if you think your motivations for proposing a course of action might be questioned.    : Wikipedia:Canadian wikipedians' notice board    == WikiProject Vancouver ==  Hello. I am Arnold (aka Buchanan-Hermit) and I am writing to invite you to join the newly-formed WikiProject Vancouver. It was created really recently and it's in need of new members and those who are willing to spread the word.  I'd love to see you there. ) Thanks for your time. .....   == test page ==  Please do not use the main article namespace for testing. There is the Wikipedia:Sandbox for doing that, or . Just edit the page at the red link. —•• EMAIL•   :I've speedily Userfied your test page, it can now be found here: User:Pm shef/Pm Shef's Test Center, feel free to test away in your own userspace. [[User	2006	True	user	blocked	dev
1	572021297.0	  == """"greaser film"""" ==  You're an idiot. Bye."""	dev
0	  This already got one administrator response; a second wasn't necessary nor, considering the source, welcome.	train
